"status","path","kind","source_sha256","canonical_exists","canonical_sha256","exact_equal"
" M",".ai-os\control\C1-C5-SESSION.json","CODE_OR_CONFIG","309b5754b1194eb076d9a1540e4ff31503da7e96af61538316de480f614616ac","False",,"False"
" M",".ai-os\control\C2-WORKER-V1.py","CODE_OR_CONFIG","5778a2c26909b0177bf6d32355ab27f81f435c1c53104124ce5d71a00e6e4cf6","False",,"False"
" M",".ai-os\reports\archive-estate\RAIOS-ARCHIVE-ESTATE-CONVERGENCE-AND-DEDUPE-WAVE-01\FILES-SHA256.txt","GENERATED_OR_EVIDENCE","3099c56c7f482878d9dd53c6794de07d3483cedbef65ce3adf0044ff45852b3a","True","38abac253f2d11977e78e4d41c1f72a0a2071d35c73611791e105205196262c2","False"
" M",".ai-os\reports\archive-estate\RAIOS-ARCHIVE-ESTATE-CONVERGENCE-AND-DEDUPE-WAVE-01\HANDOFF.md","GENERATED_OR_EVIDENCE","7db20ab066c798d1252e62314da8d53b69ee426ac00187f29b87f07100c0d748","True","0ba6275d6dc7bd0ebc2d18413f020b853912ac047c8bdec38b69dc501ce1f9c8","False"
" M",".ai-os\reports\archive-estate\RAIOS-ARCHIVE-ESTATE-CONVERGENCE-AND-DEDUPE-WAVE-01\MASTER-ARCHIVE-INDEX.json","GENERATED_OR_EVIDENCE","2d66e5176185bf000a111bd8dcfbeb5b20c19a8928ac948852c61bd623612209","True","da395b5f0168d9dbbde3d2325405ddf0c7dc2059245d29d0ca1f1782d5b6caa7","False"
" M",".ai-os\reports\archive-estate\RAIOS-ARCHIVE-ESTATE-CONVERGENCE-AND-DEDUPE-WAVE-01\PHYSICAL-CONVERGENCE-GATE.json","GENERATED_OR_EVIDENCE","76fe0e28e4e64fb8ba3adbf376b1443308767aecd5f6d590d909d64102c05e1c","True","76fe0e28e4e64fb8ba3adbf376b1443308767aecd5f6d590d909d64102c05e1c","True"
" M",".ai-os\reports\archive-estate\RAIOS-ARCHIVE-ESTATE-CONVERGENCE-AND-DEDUPE-WAVE-01\RECOVERY-PROOFS.json","GENERATED_OR_EVIDENCE","fbd7e96f826486b8f07da6678dcf953133e556f4c3d89409cb202e08a891a901","True","fbd7e96f826486b8f07da6678dcf953133e556f4c3d89409cb202e08a891a901","True"
" M",".ai-os\reports\archive-estate\RAIOS-ARCHIVE-ESTATE-CONVERGENCE-AND-DEDUPE-WAVE-01\TREE001-BUNDLE-VERIFICATION.json","GENERATED_OR_EVIDENCE","42c54c03e1ce786706b4e6312a46c04600d7953bd27f6b278b58ce5a2e7cbde0","True","42c54c03e1ce786706b4e6312a46c04600d7953bd27f6b278b58ce5a2e7cbde0","True"
" M",".ai-os\reports\archive-estate\RAIOS-ARCHIVE-ESTATE-CONVERGENCE-AND-DEDUPE-WAVE-01\TREE001-RECOVERY-REFS.json","GENERATED_OR_EVIDENCE","0ddef0498e2bb5d3563cac99df7f080db705bcaf787c0e3ec3bf8bf8d049e530","True","0ddef0498e2bb5d3563cac99df7f080db705bcaf787c0e3ec3bf8bf8d049e530","True"
" M",".ai-os\state\LOCKS.json","GENERATED_OR_EVIDENCE","75b12254b627095cb4a9eb29ffb387baf95c74c102dec28a975a7bb4afe5a88c","True","3e7c5636ce315762ac0a5f2e761ade3979599ec8d2f8bca3cc1416789caf67c8","False"
" M",".ai-os\state\TASKS.json","GENERATED_OR_EVIDENCE","7af01dd915e269f961730aff2d9a6e5a1644e83510c422bb31574cecf2c6e40d","True","b2c1f2172997ccaf76e9d0c50989b83e84edaa7f4da21d4ea28aca8d8b769c74","False"
" M",".ai-os\state\command-fabric\C2-AG.health.json","GENERATED_OR_EVIDENCE","ae3db6f9abe6b0358c268d83405a6c56e553a41052a33da7d635cc39530a1b2f","False",,"False"
" M",".ai-os\state\command-fabric\C2-AG.pid","GENERATED_OR_EVIDENCE","3de750c416cf32cee3d80c7070429709af0e37320ace78cc5d3c0b527014cb49","False",,"False"
" M",".ai-os\state\command-fabric\WORKER-REGISTRY.json","GENERATED_OR_EVIDENCE","282ae8a45c2693bd6a3932fced6df16293e8216db534f6d0fb5b76d1941c4a4f","False",,"False"
" D","Weight-Merge-Lab\.gitignore","OTHER",,"False",,"False"
" D","Weight-Merge-Lab\__main__.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\cli.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\core\__init__.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\core\domain\__init__.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\core\domain\enums.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\core\domain\exceptions.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\core\domain\hashing.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\core\domain\models\__init__.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\core\domain\models\artifact.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\core\domain\models\base.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\core\domain\models\evidence.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\core\domain\models\experiment.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\core\domain\models\model.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\core\domain\models\proof.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\core\domain\state_machine.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\core\merge\__init__.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\core\merge\compatibility.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\core\merge\discover.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\core\merge\engine.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\core\merge\execution.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\core\merge\lab_linear.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\core\merge\mergekit_adapter.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\core\merge\models.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\core\merge\receipt.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\core\merge\registry.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\core\merge\strategies\__init__.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\core\merge\strategies\linear.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\core\merge\strategies\mergekit.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\core\merge\strategy.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\core\models\__init__.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\core\models\compatibility.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\core\policy.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\data\artifacts\.gitkeep","OTHER",,"False",,"False"
" D","Weight-Merge-Lab\data\evidence\.gitkeep","OTHER",,"False",,"False"
" D","Weight-Merge-Lab\data\experiments\.gitkeep","OTHER",,"False",,"False"
" D","Weight-Merge-Lab\data\models\.gitkeep","OTHER",,"False",,"False"
" D","Weight-Merge-Lab\pytest.ini","OTHER",,"False",,"False"
" D","Weight-Merge-Lab\requirements-lab.txt","OTHER",,"False",,"False"
" D","Weight-Merge-Lab\requirements.txt","OTHER",,"False",,"False"
" D","Weight-Merge-Lab\storage\__init__.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\storage\artifacts\__init__.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\storage\artifacts\registry.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\storage\model_registry\__init__.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\storage\model_registry\inspector.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\storage\model_registry\registry.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\tests\__init__.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\tests\unit\__init__.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\tests\unit\test_artifact_registry.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\tests\unit\test_compatibility.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\tests\unit\test_hashing.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\tests\unit\test_lab_linear.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\tests\unit\test_merge_models.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\tests\unit\test_mergekit_adapter.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\tests\unit\test_model_inspector.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\tests\unit\test_model_registry.py","CODE_OR_CONFIG",,"False",,"False"
" D","Weight-Merge-Lab\tests\unit\test_state_machine.py","CODE_OR_CONFIG",,"False",,"False"
" D","_raios-communication-fabric\src\raios_multimodal_gateway.py","CODE_OR_CONFIG",,"False",,"False"
" D","_raios-communication-fabric\src\raios_ollama_client.py","CODE_OR_CONFIG",,"False",,"False"
" D","_raios-communication-fabric\src\raios_supervised_learning_trace.py","CODE_OR_CONFIG",,"False",,"False"
"??",".ai-os\control\C1-C5-SESSION-ARCHIVED-COR-C1C5-2026-08-26T175847.280630+0000.json","CODE_OR_CONFIG","b5c9f3c868dbeb398e65d0024732ae04ee83d4fdbb16014c80c9e97759f4477d","False",,"False"
