"product_id","product_code","product_name_en","collection","category","hs_code","packaging_profile","origin_country","current_primary_supplier_id","current_primary_supplier_name","supplier_verification_status","supplier_source_url","supplier_source_reference","supplier_verified_on","supplier_owner","market","incoterm","currency","unit_price","price_basis","minimum_order_quantity","price_effective_from","price_effective_to","price_source_url","price_source_reference","route_origin","route_destination","shipping_mode","freight_cost","freight_currency","freight_effective_from","freight_source_url","evidence_status","owner_approval","notes"
"H001","HON001","Wildflower Honey","honey","Honey","040900","honey_default","Egypt","SUP-EGY-HONEY-001","Nile Valley Honey Co.","REQUIRES_VERIFICATION","","","","GREENY_LIFE_EGYPT","","","","","","","","","","","","","","","","","","REQUIRES_VERIFICATION","",""
"H002","HON002","Clover Honey","honey","Honey","040900","honey_default","Egypt","SUP-EGY-HONEY-001","Nile Valley Honey Co.","REQUIRES_VERIFICATION","","","","GREENY_LIFE_EGYPT","","","","","","","","","","","","","","","","","","REQUIRES_VERIFICATION","",""
"H003","HON003","Citrus Honey","honey","Honey","040900","honey_default","Egypt","SUP-EGY-HONEY-001","Nile Valley Honey Co.","REQUIRES_VERIFICATION","","","","GREENY_LIFE_EGYPT","","","","","","","","","","","","","","","","","","REQUIRES_VERIFICATION","",""
"B001","BEE001","Royal Jelly","bee_products","Bee Products","041000","royal_jelly","Egypt","SUP-EGY-BEE-001","Green Valley Bee Products","REQUIRES_VERIFICATION","","","","GREENY_LIFE_EGYPT","","","","","","","","","","","","","","","","","","REQUIRES_VERIFICATION","",""
"B002","BEE002","Bee Pollen","bee_products","Bee Products","041000","bee_pollen","Egypt","SUP-EGY-BEE-001","Green Valley Bee Products","REQUIRES_VERIFICATION","","","","GREENY_LIFE_EGYPT","","","","","","","","","","","","","","","","","","REQUIRES_VERIFICATION","",""
"B003","BEE003","Pure Beeswax","bee_products","Bee Products","041000","beeswax","Egypt","SUP-EGY-BEE-001","Green Valley Bee Products","REQUIRES_VERIFICATION","","","","GREENY_LIFE_EGYPT","","","","","","","","","","","","","","","","","","REQUIRES_VERIFICATION","",""
"B004","BEE004","Raw Propolis","bee_products","Bee Products","041000","propolis","Egypt","SUP-EGY-BEE-001","Green Valley Bee Products","REQUIRES_VERIFICATION","","","","GREENY_LIFE_EGYPT","","","","","","","","","","","","","","","","","","REQUIRES_VERIFICATION","",""
"S001","SPC001","Garlic Powder","spices","Spices","091099","spices_default","Egypt","SUP-EGY-SPICE-001","Sinai Spice Mills","REQUIRES_VERIFICATION","","","","GREENY_LIFE_EGYPT","","","","","","","","","","","","","","","","","","REQUIRES_VERIFICATION","",""
"S002","SPC002","Onion Powder","spices","Spices","091099","spices_default","Egypt","SUP-EGY-SPICE-001","Sinai Spice Mills","REQUIRES_VERIFICATION","","","","GREENY_LIFE_EGYPT","","","","","","","","","","","","","","","","","","REQUIRES_VERIFICATION","",""
"S003","SPC003","Turmeric Powder","spices","Spices","091099","spices_default","Egypt","SUP-EGY-SPICE-001","Sinai Spice Mills","REQUIRES_VERIFICATION","","","","GREENY_LIFE_EGYPT","","","","","","","","","","","","","","","","","","REQUIRES_VERIFICATION","",""
"S004","SPC004","Sweet Paprika","spices","Spices","091099","spices_default","Egypt","SUP-EGY-SPICE-001","Sinai Spice Mills","REQUIRES_VERIFICATION","","","","GREENY_LIFE_EGYPT","","","","","","","","","","","","","","","","","","REQUIRES_VERIFICATION","",""
"S005","SPC005","Roasted Cumin","spices","Spices","091099","spices_default","Egypt","SUP-EGY-SPICE-001","Sinai Spice Mills","REQUIRES_VERIFICATION","","","","GREENY_LIFE_EGYPT","","","","","","","","","","","","","","","","","","REQUIRES_VERIFICATION","",""
"S006","SPC006","Seven Spices Blend","spices","Spices","091099","spices_default","Egypt","SUP-EGY-SPICE-001","Sinai Spice Mills","REQUIRES_VERIFICATION","","","","GREENY_LIFE_EGYPT","","","","","","","","","","","","","","","","","","REQUIRES_VERIFICATION","",""
"H004","HRB001","Hibiscus Flowers","herbs","Herbs","121190","herbs_default","Egypt","","","MISSING_PRIMARY_SUPPLIER_LINK","","","","GREENY_LIFE_EGYPT","","","","","","","","","","","","","","","","","","REQUIRES_VERIFICATION","",""
"O001","OIL001","Black Seed Oil","oils","Natural Oils","151590","black_seed_oil","Egypt","SUP-EGY-OIL-001","Green Valley Herbs & Oils","REQUIRES_VERIFICATION","","","","GREENY_LIFE_EGYPT","","","","","","","","","","","","","","","","","","REQUIRES_VERIFICATION","",""
