"path","extension","sha256","bytes","duplicateRegisteredLocations","classification","inspection","zipEntries","zipUncompressedBytes","entryExtensions","safeTextSignals","owner","sor","treatment","reason"
"C:\Users\Ghanam\Documents\Codex\2026-08-11\referenced-chatgpt-conversation-this-is-an\outputs\runtime-config-source-5946c6bc.zip",".zip","E4650A0388D964CFB4ED41E6C361234850A336336B2FC83DCA6BBB6BF495DE5E","13143","1","REVIEW_ARCHIVE_UNREADABLE","ZIP_INDEX_FAILED","0","0","","","OWNER_UNPROVEN","NOT_SOR_PROVEN","KEEP","ZIP index could not be safely read: Unable to find type [IO.Compression.ZipFile]."
"C:\Users\Ghanam\Documents\Codex\Greeny-Life-Repair\E3-SOURCE-TRACE-PACKAGE.zip",".zip","B3F84A2D24085CCBA6BD260BE39CA79DBE5EE4EFEA34072F318EB06517390B88","59654","2","REVIEW_ARCHIVE_UNREADABLE","ZIP_INDEX_FAILED","0","0","","","OWNER_UNPROVEN","NOT_SOR_PROVEN","KEEP","ZIP index could not be safely read: Unable to find type [IO.Compression.ZipFile]."
"C:\Users\Ghanam\Documents\Codex\Greeny-Life-Repair\GreenyLifeEOS_Review.zip",".zip","AC2A7562954707BD5E1A19D8912D09CD0B5CE0854DDBBA5D3F2A11AB75919172","21265973","2","REVIEW_ARCHIVE_UNREADABLE","ZIP_INDEX_FAILED","0","0","","","OWNER_UNPROVEN","NOT_SOR_PROVEN","KEEP","ZIP index could not be safely read: Unable to find type [IO.Compression.ZipFile]."
"C:\Users\Ghanam\Documents\Codex\Greeny-Life-Repair\package.json.bak",".bak","2F328BB82B5D5349D98749AA9115417FEEB1D1BDAE26A36A1BE3F1739C9ABFA9","7657","1","TEXT_BACKUP_METADATA_INSPECTED","SAFE_TEXT_METADATA","0","0","","BUSINESS_DOMAIN;RUNTIME_CONTRACT_REFERENCE","OWNER_UNPROVEN","NOT_SOR_PROVEN","KEEP","Standalone text backup retained; metadata inspected without treating it as a Current or Legacy System of Record."
"C:\Users\Ghanam\Documents\Codex\Greeny-Life-Repair\unified-intelligence-restore-5946c6bc.zip",".zip","354461E14DB4DDD092338CB167288A30C54700914D88127EC21CB7BEA3A59D2A","3355639","1","REVIEW_ARCHIVE_UNREADABLE","ZIP_INDEX_FAILED","0","0","","","OWNER_UNPROVEN","NOT_SOR_PROVEN","KEEP","ZIP index could not be safely read: Unable to find type [IO.Compression.ZipFile]."
"C:\Users\Ghanam\OneDrive\projects\Greeny-Life\.venv\Lib\site-packages\dateutil\zoneinfo\dateutil-zoneinfo.tar.gz",".gz","D3EA52E7B6E968DE0D884DF1288193596FA95B803DB4F92A18279A7398004475","156400","1","ENVIRONMENT_PACKAGE_GROUPED","METADATA_ONLY","0","0","","","OWNER_UNPROVEN","NOT_SOR_PROVEN","KEEP","Dependency/test fixture package under the Legacy Python environment; preserved as grouped environment evidence, not business content."
"C:\Users\Ghanam\OneDrive\projects\Greeny-Life\.venv\Lib\site-packages\joblib\test\data\joblib_0.10.0_compressed_pickle_py27_np16.gz",".gz","418447E90D83486568AE3092A960B18D358230E24AC9EC38365DAA99F415BD0F","769","1","ENVIRONMENT_PACKAGE_GROUPED","METADATA_ONLY","0","0","","","OWNER_UNPROVEN","NOT_SOR_PROVEN","KEEP","Dependency/test fixture package under the Legacy Python environment; preserved as grouped environment evidence, not business content."
"C:\Users\Ghanam\OneDrive\projects\Greeny-Life\.venv\Lib\site-packages\joblib\test\data\joblib_0.10.0_compressed_pickle_py27_np17.gz",".gz","A1F4E8CCCFCA94F25AE744D1F050B0734F663263BA38ED0642181404B348B17B","757","1","ENVIRONMENT_PACKAGE_GROUPED","METADATA_ONLY","0","0","","","OWNER_UNPROVEN","NOT_SOR_PROVEN","KEEP","Dependency/test fixture package under the Legacy Python environment; preserved as grouped environment evidence, not business content."
"C:\Users\Ghanam\OneDrive\projects\Greeny-Life\.venv\Lib\site-packages\joblib\test\data\joblib_0.10.0_compressed_pickle_py33_np18.gz",".gz","D9E215780F978CE693E48110EAD23652E1C6DE1C2189172232690198F7088788","792","1","ENVIRONMENT_PACKAGE_GROUPED","METADATA_ONLY","0","0","","","OWNER_UNPROVEN","NOT_SOR_PROVEN","KEEP","Dependency/test fixture package under the Legacy Python environment; preserved as grouped environment evidence, not business content."
"C:\Users\Ghanam\OneDrive\projects\Greeny-Life\.venv\Lib\site-packages\joblib\test\data\joblib_0.10.0_compressed_pickle_py34_np19.gz",".gz","1ABDB3FF5B555831F51F7FF00951E66A49277FC2AA787293F18CF8775BE65023","794","1","ENVIRONMENT_PACKAGE_GROUPED","METADATA_ONLY","0","0","","","OWNER_UNPROVEN","NOT_SOR_PROVEN","KEEP","Dependency/test fixture package under the Legacy Python environment; preserved as grouped environment evidence, not business content."
