relative_path,scope_class,extension,bytes,last_write_utc
".env","PROJECT_OR_DOMAIN_CANDIDATE",".env",836,"2026-08-07T18:50:53.6295214Z"
".gitignore","PROJECT_OR_DOMAIN_CANDIDATE",".gitignore",548,"2026-08-09T23:22:12.2404617Z"
".govern.toml","PROJECT_OR_DOMAIN_CANDIDATE",".toml",278,"2026-08-05T11:29:52.3283589Z"
"ALL_SOURCE_CODE.txt","PROJECT_OR_DOMAIN_CANDIDATE",".txt",16000617,"2026-08-07T16:45:56.4547339Z"
"analytics_report.json","PROJECT_OR_DOMAIN_CANDIDATE",".json",483,"2026-08-05T13:31:00.5600038Z"
"analytics_with_business.json","PROJECT_OR_DOMAIN_CANDIDATE",".json",483,"2026-08-05T20:35:25.6851162Z"
"audit_ast_extraction.py","PROJECT_OR_DOMAIN_CANDIDATE",".py",8487,"2026-08-09T18:21:34.1011150Z"
"audit_brain_intelligence.py","PROJECT_OR_DOMAIN_CANDIDATE",".py",4724,"2026-08-09T19:23:26.3750443Z"
"audit_brain_intelligence_v2.py","PROJECT_OR_DOMAIN_CANDIDATE",".py",12832,"2026-08-09T20:04:35.8047562Z"
"audit_report.json","PROJECT_OR_DOMAIN_CANDIDATE",".json",65517,"2026-08-05T12:06:05.5108428Z"
"brain.py","PROJECT_OR_DOMAIN_CANDIDATE",".py",318472,"2026-08-07T21:46:55.1794500Z"
"build_evidence_layer.py","PROJECT_OR_DOMAIN_CANDIDATE",".py",1889,"2026-08-09T20:20:47.7742245Z"
"business_assets_report.json","PROJECT_OR_DOMAIN_CANDIDATE",".json",709,"2026-08-05T20:30:25.9551265Z"
"certificate_report.json","PROJECT_OR_DOMAIN_CANDIDATE",".json",398,"2026-08-04T22:04:23.7018160Z"
"certificate_report_v2.json","PROJECT_OR_DOMAIN_CANDIDATE",".json",401,"2026-08-04T23:37:44.2886762Z"
"certificate_report_v3.json","PROJECT_OR_DOMAIN_CANDIDATE",".json",401,"2026-08-04T23:07:41.3360992Z"
"certificate_report_v4.json","PROJECT_OR_DOMAIN_CANDIDATE",".json",401,"2026-08-04T23:55:26.5894646Z"
"certs_confirm.json","PROJECT_OR_DOMAIN_CANDIDATE",".json",401,"2026-08-05T12:58:57.7984028Z"
"config.yaml","PROJECT_OR_DOMAIN_CANDIDATE",".yaml",1746,"2026-08-07T18:50:53.2206095Z"
"consolidation_report_final.json","PROJECT_OR_DOMAIN_CANDIDATE",".json",30213,"2026-08-04T21:08:45.2276712Z"
"consolidation_report_full.json","PROJECT_OR_DOMAIN_CANDIDATE",".json",93594,"2026-08-04T21:01:19.2271926Z"
"crm_report.json","PROJECT_OR_DOMAIN_CANDIDATE",".json",329,"2026-08-05T12:41:08.2131850Z"
"customer_report.json","PROJECT_OR_DOMAIN_CANDIDATE",".json",798,"2026-08-05T10:12:35.4434941Z"
"deep_clean_report.json","PROJECT_OR_DOMAIN_CANDIDATE",".json",332,"2026-08-05T11:12:28.5711878Z"
"deep_clean_report_v2.json","PROJECT_OR_DOMAIN_CANDIDATE",".json",332,"2026-08-05T11:15:10.9987601Z"
"E3-GIT-HEAD.txt","PROJECT_OR_DOMAIN_CANDIDATE",".txt",86,"2026-08-11T12:10:05.9327111Z"
"E3-GIT-STATUS.txt","PROJECT_OR_DOMAIN_CANDIDATE",".txt",110,"2026-08-11T12:10:01.2051644Z"
"E3-GIT-TRACKED.txt","PROJECT_OR_DOMAIN_CANDIDATE",".txt",521116,"2026-08-11T12:10:01.5957500Z"
"E3-REPOSITORY-MANIFEST.json","PROJECT_OR_DOMAIN_CANDIDATE",".json",9967674,"2026-08-11T12:05:58.1094508Z"
"E3-SOURCE-TRACE-PACKAGE.zip","PROJECT_OR_DOMAIN_CANDIDATE",".zip",59654,"2026-08-11T12:48:54.3838775Z"
"els_final.json","PROJECT_OR_DOMAIN_CANDIDATE",".json",1005,"2026-08-05T12:58:59.2139375Z"
"els_final_confirm.json","PROJECT_OR_DOMAIN_CANDIDATE",".json",1005,"2026-08-05T12:49:33.3000949Z"
"els_final_v2.json","PROJECT_OR_DOMAIN_CANDIDATE",".json",1005,"2026-08-05T13:04:11.2973128Z"
"els_final_with_business.json","PROJECT_OR_DOMAIN_CANDIDATE",".json",1005,"2026-08-05T20:35:06.5645233Z"
"els_report.json","PROJECT_OR_DOMAIN_CANDIDATE",".json",1004,"2026-08-04T23:27:19.4291614Z"
"els_report_final.json","PROJECT_OR_DOMAIN_CANDIDATE",".json",1004,"2026-08-04T23:36:06.6870950Z"
"els_report_final_v2.json","PROJECT_OR_DOMAIN_CANDIDATE",".json",1005,"2026-08-04T23:38:29.1567579Z"
"els_report_final_v4.json","PROJECT_OR_DOMAIN_CANDIDATE",".json",1005,"2026-08-04T23:55:28.2315198Z"
"els_report_final_v5.json","PROJECT_OR_DOMAIN_CANDIDATE",".json",1005,"2026-08-05T00:05:08.8390817Z"
"els_report_new.json","PROJECT_OR_DOMAIN_CANDIDATE",".json",1005,"2026-08-05T11:37:05.9340819Z"
"Engine_Discovery_Report.csv","PROJECT_OR_DOMAIN_CANDIDATE",".csv",697093,"2026-08-05T21:54:46.2651748Z"
"enrich_context.py","PROJECT_OR_DOMAIN_CANDIDATE",".py",10327,"2026-08-09T18:53:09.4345929Z"
